0:0:0:0:0:0:0:1 - - [17/May/2019:11:06:15 -0300] "GET /casadocodigo/resources/imagens/cdc-logo.svg HTTP/1.1" 200 19652
0:0:0:0:0:0:0:1 - - [17/May/2019:11:06:15 -0300] "GET /casadocodigo/resources/css/museo-500.ttf HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [17/May/2019:11:06:15 -0300] "GET /casadocodigo/resources/css/museo-700.ttf HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [17/May/2019:11:10:58 -0300] "GET /casadocodigo/produtos/detalhe/1 HTTP/1.1" 200 8418
0:0:0:0:0:0:0:1 - - [17/May/2019:11:10:58 -0300] "GET /casadocodigo/resources/css/fontello-ie7.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2019:11:10:58 -0300] "GET /casadocodigo/resources/css/fontello.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2019:11:10:58 -0300] "GET /casadocodigo/resources/css/cssbase-min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2019:11:10:58 -0300] "GET /casadocodigo/resources/css/fonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2019:11:10:58 -0300] "GET /casadocodigo/resources/css/fontello-embedded.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2019:11:10:58 -0300] "GET /casadocodigo/resources/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2019:11:10:58 -0300] "GET /casadocodigo/resources/css/layout-colors.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2019:11:10:58 -0300] "GET /casadocodigo/resources/css/responsive-style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/May/2019:11:10:58 -0300] "GET /casadocodigo/resources/css/museo-500.woff HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [17/May/2019:11:10:58 -0300] "GET /casadocodigo/resources/css/museo-700.woff HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [17/May/2019:11:10:58 -0300] "GET /casadocodigo/resources/css/fontello.woff?3398089 HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [17/May/2019:11:10:58 -0300] "GET /casadocodigo/resources/css/museo-500.ttf HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [17/May/2019:11:10:58 -0300] "GET /casadocodigo/resources/css/museo-700.ttf HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [17/May/2019:11:10:58 -0300] "GET /casadocodigo/resources/css/fontello.ttf?3398089 HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [17/May/2019:11:11:03 -0300] "GET / HTTP/1.1" 200 11403
0:0:0:0:0:0:0:1 - - [17/May/2019:11:11:03 -0300] "GET /tomcat.css HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [17/May/2019:11:11:03 -0300] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [17/May/2019:11:11:03 -0300] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [17/May/2019:11:11:03 -0300] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [17/May/2019:11:11:03 -0300] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [17/May/2019:11:11:03 -0300] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [17/May/2019:11:11:03 -0300] "GET /asf-logo-wide.svg HTTP/1.1" 200 27530
0:0:0:0:0:0:0:1 - - [17/May/2019:11:11:03 -0300] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [17/May/2019:11:11:05 -0300] "GET /favicon.ico HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [17/May/2019:11:11:27 -0300] "GET / HTTP/1.1" 200 11403
0:0:0:0:0:0:0:1 - - [17/May/2019:11:11:27 -0300] "GET /tomcat.css HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [17/May/2019:11:11:27 -0300] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [17/May/2019:11:11:27 -0300] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [17/May/2019:11:11:27 -0300] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [17/May/2019:11:11:29 -0300] "GET /favicon.ico HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [17/May/2019:11:12:29 -0300] "GET /favicon.ico HTTP/1.1" 200 8192
0:0:0:0:0:0:0:1 - - [17/May/2019:11:12:51 -0300] "GET /casadocodigo/produtos/detalhe/1 HTTP/1.1" 200 8418
0:0:0:0:0:0:0:1 - - [17/May/2019:11:12:51 -0300] "GET /casadocodigo/resources/css/cssbase-min.css HTTP/1.1" 200 2044
0:0:0:0:0:0:0:1 - - [17/May/2019:11:12:51 -0300] "GET /casadocodigo/resources/css/style.css HTTP/1.1" 200 10981
0:0:0:0:0:0:0:1 - - [17/May/2019:11:12:51 -0300] "GET /casadocodigo/resources/css/museo-500.woff HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [17/May/2019:11:12:51 -0300] "GET /casadocodigo/resources/css/museo-700.woff HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [17/May/2019:11:12:51 -0300] "GET /casadocodigo/resources/css/fontello.woff?3398089 HTTP/1.1" 404 1059
0:0:0:0:0:0:0:1 - - [17/May/2019:11:12:51 -0300] "GET /casadocodigo/resources/css/museo-500.ttf HTTP/1.1" 404 1059
